age_id,age_bracket,person_id
2,Adults,994
3,Teen,994
4,Children (6 to 10),994
5,Elders (65+),994
2,Adults,995
5,Elders (65+),995
2,Adults,996
3,Teen,996
5,Elders (65+),996
2,Adults,997
3,Teen,997
5,Elders (65+),997
1,Preteen,998
2,Adults,998
3,Teen,998
2,Adults,999
3,Teen,999
1,Preteen,1000
2,Adults,1000
3,Teen,1000
4,Children (6 to 10),1000
5,Elders (65+),1000
2,Adults,1001
5,Elders (65+),1001
2,Adults,1002
3,Teen,1002
5,Elders (65+),1002
2,Adults,1003
5,Elders (65+),1003
1,Preteen,1004
2,Adults,1004
