disease_wiki_id,drug_id
Q41112,https://www.drugs.com/mtm/iloperidone.html
Q41112,https://www.drugs.com/mtm/reserpine.html
Q41112,https://www.drugs.com/mtm/trifluoperazine.html
Q41112,https://www.drugs.com/mtm/fluphenazine.html
Q41112,https://www.drugs.com/mtm/bexarotene.html
Q41112,https://www.drugs.com/mtm/chlorpromazine.html
Q41112,https://www.drugs.com/mtm/loxapine.html
Q41112,https://www.drugs.com/clozapine.html
Q41112,https://www.drugs.com/mtm/armodafinil.html
Q41112,https://www.drugs.com/clonazepam.html
Q2157462,https://www.drugs.com/mtm/fluphenazine.html
Q2157462,https://www.drugs.com/mtm/loxapine.html
Q2157462,https://www.drugs.com/mtm/trifluoperazine.html
Q2157462,https://www.drugs.com/mtm/droperidol.html
Q2157462,https://www.drugs.com/lorazepam.html
Q2157462,https://www.drugs.com/mtm/olanzapine.html
Q2157462,https://www.drugs.com/mtm/chlorpromazine.html
Q2157462,https://www.drugs.com/mtm/haloperidol.html
Q2157462,https://www.drugs.com/mtm/pimozide.html
Q2157462,https://www.drugs.com/clozapine.html
Q2157462,https://www.drugs.com/quetiapine.html
Q2157462,https://www.drugs.com/cdi/promazine.html
Q2157462,https://www.drugs.com/mtm/perphenazine.html
Q2157462,https://www.drugs.com/mtm/thioridazine.html
Q1137463,https://www.drugs.com/tadalafil.html
Q177190,https://www.drugs.com/mtm/quazepam.html
Q177190,https://www.drugs.com/zolpidem.html
Q177190,https://www.drugs.com/mtm/phenobarbital.html
Q177190,https://www.drugs.com/zopiclone.html
Q54972453,https://www.drugs.com/mtm/armodafinil.html
Q54972453,https://www.drugs.com/quetiapine.html
Q54972453,https://www.drugs.com/alprazolam.html
Q54972453,https://www.drugs.com/mtm/triazolam.html
Q54972453,https://www.drugs.com/clonazepam.html
Q54972453,https://www.drugs.com/diazepam.html
Q54972453,https://www.drugs.com/mtm/ramelteon.html
Q54972453,https://www.drugs.com/mtm/eszopiclone.html
Q54972453,https://www.drugs.com/risperidone.html
Q54972453,https://www.drugs.com/ibuprofen.html
Q54972453,https://www.drugs.com/lorazepam.html
Q54972453,https://www.drugs.com/gabapentin.html
Q54972453,https://www.drugs.com/zolpidem.html
Q54972453,https://www.drugs.com/temazepam.html
Q54972453,https://www.drugs.com/mirtazapine.html
Q54972453,https://www.drugs.com/mtm/olanzapine.html
Q54972453,https://www.drugs.com/trazodone.html
Q281928,https://www.drugs.com/gabapentin.html
Q281928,https://www.drugs.com/paroxetine.html
Q18557988,https://www.drugs.com/propofol.html
Q7632070,https://www.drugs.com/pro/doxapram.html
Q7632070,https://www.drugs.com/mtm/desipramine.html
Q18558279,https://www.drugs.com/mtm/probenecid.html
Q2184304,https://www.drugs.com/mtm/pimozide.html
Q2184304,https://www.drugs.com/clonazepam.html
Q583908,https://www.drugs.com/mtm/donepezil.html
Q583908,https://www.drugs.com/mtm/memantine.html
Q583908,https://www.drugs.com/npp/vinpocetine.html
Q18556468,https://www.drugs.com/sildenafil.html
Q18556468,https://www.drugs.com/mtm/pentoxifylline.html
Q4420149,https://www.drugs.com/loperamide.html
